id,category,time_stamp,subscriberCount,viewCount
1,1,2020-05-05,32800,0
2,1,2020-05-06,32800,0
3,1,2020-05-07,32900,0
4,1,2020-05-08,32900,0
5,1,2020-05-09,32900,0
6,1,2020-05-10,32900,0
7,1,2020-05-11,32900,0
8,1,2020-05-12,32900,0
9,1,2020-05-13,32900,0
10,1,2020-05-14,32900,0
11,1,2020-05-15,32900,0
12,1,2020-05-16,32900,0
13,2,2020-05-05,473,0
14,2,2020-05-06,477,0
15,2,2020-05-07,480,0
16,2,2020-05-08,490,0
17,2,2020-05-09,492,0
18,2,2020-05-10,496,0
19,2,2020-05-11,496,0
20,2,2020-05-12,501,0
21,2,2020-05-13,503,0
22,2,2020-05-14,509,0
23,2,2020-05-15,515,0
24,2,2020-05-16,518,0
25,3,2020-05-05,128000,0
26,3,2020-05-06,128000,0
27,3,2020-05-07,128000,0
28,3,2020-05-08,128000,0
29,3,2020-05-09,128000,0
30,3,2020-05-10,128000,0
31,3,2020-05-11,128000,0
32,3,2020-05-12,127000,0
33,3,2020-05-13,127000,0
34,3,2020-05-14,127000,0
35,3,2020-05-15,127000,0
36,3,2020-05-16,127000,0
37,4,2020-05-05,261000,0
38,4,2020-05-06,262000,0
39,4,2020-05-07,262000,0
40,4,2020-05-08,263000,0
41,4,2020-05-09,263000,0
42,4,2020-05-10,264000,0
43,4,2020-05-11,264000,0
44,4,2020-05-12,264000,0
45,4,2020-05-13,265000,0
46,4,2020-05-14,265000,0
47,4,2020-05-15,266000,0
48,4,2020-05-16,266000,0
49,5,2020-05-05,18500,0
50,5,2020-05-06,18500,0
51,5,2020-05-07,18500,0
52,5,2020-05-08,18500,0
53,5,2020-05-09,18500,0
54,5,2020-05-10,18500,0
55,5,2020-05-11,18500,0
56,5,2020-05-12,18500,0
57,5,2020-05-13,18500,0
58,5,2020-05-14,18500,0
59,5,2020-05-15,18600,0
60,5,2020-05-16,18500,0
61,6,2020-05-05,14100,0
62,6,2020-05-06,14100,0
63,6,2020-05-07,14100,0
64,6,2020-05-08,14100,0
65,6,2020-05-09,14100,0
66,6,2020-05-10,14100,0
67,6,2020-05-11,14100,0
68,6,2020-05-12,14100,0
69,6,2020-05-13,14100,0
70,6,2020-05-14,14100,0
71,6,2020-05-15,14100,0
72,6,2020-05-16,14100,0
73,7,2020-05-05,12700,0
74,7,2020-05-06,12700,0
75,7,2020-05-07,12700,0
76,7,2020-05-08,12700,0
77,7,2020-05-09,12800,0
78,7,2020-05-10,12800,0
79,7,2020-05-11,12800,0
80,7,2020-05-12,12800,0
81,7,2020-05-13,12900,0
82,7,2020-05-14,12900,0
83,7,2020-05-15,12900,0
84,7,2020-05-16,12900,0
85,8,2020-05-05,18500,0
86,8,2020-05-06,18500,0
87,8,2020-05-07,18500,0
88,8,2020-05-08,18500,0
89,8,2020-05-09,18500,0
90,8,2020-05-10,18500,0
91,8,2020-05-11,18500,0
92,8,2020-05-12,18500,0
93,8,2020-05-13,18500,0
94,8,2020-05-14,18500,0
95,8,2020-05-15,18600,0
96,8,2020-05-16,18500,0
97,9,2020-05-05,22624,0
98,9,2020-05-06,22646,0
99,9,2020-05-07,22668,0
100,9,2020-05-08,22689,0
101,9,2020-05-09,22712,0
102,9,2020-05-10,22731,0
103,9,2020-05-11,22814,0
104,9,2020-05-12,22844,0
105,9,2020-05-13,22963,0
106,9,2020-05-14,22988,0
107,9,2020-05-15,23026,0
108,9,2020-05-16,23074,0
109,10,2020-05-05,18500,0
110,10,2020-05-06,18500,0
111,10,2020-05-07,18500,0
112,10,2020-05-08,18500,0
113,10,2020-05-09,18500,0
114,10,2020-05-10,18500,0
115,10,2020-05-11,18500,0
116,10,2020-05-12,18500,0
117,10,2020-05-13,18500,0
118,10,2020-05-14,18500,0
119,10,2020-05-15,18600,0
120,10,2020-05-16,18500,0
